id,score,text,episode,start_time,end_time,start_frame,end_frame
8QulFI8BYtCDorbFC2yp,1.0,還有國王企鵝的,1,"00:13:23,219","00:13:24,552",19257,19289
8gulFI8BYtCDorbFC2yp,1.0,等一下等一不我不需要那麼多,1,"00:13:24,553","00:13:26,679",19289,19340
9AulFI8BYtCDorbFC2yp,1.0,這些是,1,"00:13:39,068","00:13:40,568",19637,19673
9gulFI8BYtCDorbFC2yp,1.0,"12月12日, 發現塵埃",1,"00:13:46,408","00:13:50,453",19813,19910
-AulFI8BYtCDorbFC2yp,1.0,那是前前前屆的學姊寫的,1,"00:13:54,166","00:13:57,126",19999,20070
-gulFI8BYtCDorbFC2yp,1.0,"今天看了星星, 一片非常嚕的星空",1,"00:14:00,923","00:14:05,301",20161,20266
_AulFI8BYtCDorbFC2yp,1.0,天文社該說是有奇怪的女生嗎,1,"00:14:11,225","00:14:13,935",20408,20473
_QulFI8BYtCDorbFC2yp,1.0,好像很容易吸引到有個性的人加入呢,1,"00:14:13,936","00:14:16,437",20473,20533
_gulFI8BYtCDorbFC2yp,1.0,要加入嗎,1,"00:14:16,438","00:14:17,397",20533,20556
AAulFI8BYtCDorbFC22p,1.0,雖然只要有努力做活動報告就不會被廢社,1,"00:14:21,026","00:14:24,404",20643,20724
AwulFI8BYtCDorbFC22p,1.0,她又開始沮喪了,1,"00:14:31,996","00:14:34,247",20906,20960
BQulFI8BYtCDorbFC22p,1.0,可是,1,"00:14:39,628","00:14:40,420",21089,21108
BgulFI8BYtCDorbFC22p,1.0,這個筆記本,1,"00:14:42,715","00:14:44,257",21163,21200
CAulFI8BYtCDorbFC22p,1.0,你明明有玩樂團嘛,1,"00:14:51,015","00:14:52,432",21362,21396
CgulFI8BYtCDorbFC22p,1.0,這首叫春日影的歌我沒聽過耶,1,"00:14:57,021","00:14:59,480",21506,21565
CwulFI8BYtCDorbFC22p,1.0,我已經沒在玩樂團了,1,"00:15:04,904","00:15:07,530",21695,21758
DQulFI8BYtCDorbFC22p,1.0,那要和我一起玩嗎,1,"00:15:08,449","00:15:09,991",21780,21817
DwulFI8BYtCDorbFC22p,1.0,除此之外你想負責什麼都可以喔,1,"00:15:11,952","00:15:13,912",21864,21911
EQulFI8BYtCDorbFC22p,1.0,一定能受到大家注目的,1,"00:15:15,956","00:15:17,665",21960,22001
EwulFI8BYtCDorbFC22p,1.0,這樣啊那好吧,1,"00:15:22,713","00:15:25,715",22122,22194
FAulFI8BYtCDorbFC22p,1.0,因為就算玩樂團,1,"00:15:27,843","00:15:30,428",22245,22307
FwulFI8BYtCDorbFC22p,1.0,"這種時候就要去唱卡拉 OK, 走吧",1,"00:15:44,818","00:15:47,153",22652,22708
GAulFI8BYtCDorbFC22p,1.0,對不起,1,"00:16:09,635","00:16:10,635",23247,23271
HAulFI8BYtCDorbFC22p,1.0,先姑且不論我,1,"00:16:22,982","00:16:24,691",23567,23608
HQulFI8BYtCDorbFC22p,1.0,我還以為她應該會和兒時玩伴的小睦聯絡,1,"00:16:24,692","00:16:28,820",23608,23707
HgulFI8BYtCDorbFC22p,1.0,小祥現在在哪裡呢,1,"00:16:34,576","00:16:37,245",23845,23909
HwulFI8BYtCDorbFC22p,1.0,不曉得她現在還好嗎,1,"00:16:37,830","00:16:40,456",23923,23986
IQulFI8BYtCDorbFC22p,1.0,小祥說要退出樂團時,1,"00:16:47,881","00:16:51,217",24164,24244
IgulFI8BYtCDorbFC22p,1.0,如果能好好傾聽她的想法就好了,1,"00:16:51,218","00:16:55,596",24244,24349
JAulFI8BYtCDorbFC22p,1.0,這不是小睦的錯,1,"00:17:01,520","00:17:03,479",24491,24538
KgulFI8BYtCDorbFC22p,1.0,沒問題的,1,"00:17:15,993","00:17:17,285",24838,24869
KwulFI8BYtCDorbFC22p,1.0,大家一定能再重新和好的,1,"00:17:17,286","00:17:19,579",24869,24924
